No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,56.4,57.24571823,64.77519525,69.90623509,83.40752472,75.10833632,76.33082351,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,78.8,78.48569702,88.6676853,92.32105997,129.7790476,109.1897534,96.38985388,0,0,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,117.3,121.5335685,143.0894682,175.8162826,210.4318284,182.5213334,159.4071617,0,0,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,188.2,193.4314646,234.1464025,241.5197381,239.3566398,245.3538986,232.7202549,0,0,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,258.1,248.6326929,279.1439254,275.5622534,283.7386254,284.9271081,281.0039386,0,0,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,277.4,286.1150084,297.8597093,291.9530941,299.1957997,309.317127,303.7256722,0,0,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,288.8,296.3374581,310.0714264,305.9623596,305.4704942,308.3479872,302.1280503,0,0,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,300.7,300.7671863,307.9476495,309.044398,304.3992049,320.1391884,309.0510784,0,0,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,317.4,300.5400207,309.5404822,304.981711,308.2252381,324.177271,310.2936732,0,0,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,314.5,297.5868686,304.0983039,304.561433,305.1644115,329.6690633,321.4770265,0,0,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,318.8,290.7719021,319.8938946,310.3052319,314.652974,341.4602645,312.2463222,0,0,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,314.5,281.3445319,333.5657083,315.6287528,310.3678168,369.0807494,326.8024328,0,0,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,313.3,269.7590889,327.990794,320.6720884,311.4391061,444.5121324,344.9088141,0,0,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,315.9,246.588203,318.6992701,314.6481042,323.5293711,411.0768085,354.672059,0,0,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,314.5,228.6421246,322.6813517,302.3199506,327.9675697,469.5482445,365.3228716,0,0,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,316.8,306.9006561,326.6634334,320.3919031,346.7916532,497.976346,355.0270861,0,0,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,320.5,197.1796961,330.6455151,321.652737,340.5169587,429.4904651,463.4878609,0,0,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,311.5,172.8729824,335.291277,308.0637494,345.8734053,759.6440983,411.8314199,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 3_1,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,-0.132736056,0,-0.15304133,0,0,0,0,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-0.1,0,0,0.280185311,0,0,0,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-0.1,0,0,0,-0.30608266,0,0.177513543,0,0,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.9,0.454331097,0.132736056,0.700463277,1.683454627,0.80761652,0.887567715,0,0,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,4.6,5.56555594,5.176706178,5.60370622,11.3250584,5.330269029,6.035460464,0,0,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,11.8,12.3805224,13.80454981,15.69037742,27.54743936,18.89822656,11.89340738,0,0,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,31.7,32.25750789,30.79476495,37.12455371,48.66714286,40.05777937,34.08260027,0,0,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,56.4,56.22347327,60.52764146,65.00299215,73.45983829,70.1011139,53.43157646,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,74.6,79.28077644,84.55286757,87.838095,106.8228482,91.26066671,85.20650066,0,0,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,124.3,132.8918459,122.6481156,132.9479301,175.3853639,162.4924437,134.7327792,0,0,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,186.2,195.7031201,200.0332361,199.3518488,230.3272013,219.1871234,204.1405745,0,0,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,246.1,247.4968651,249.0128408,254.8285403,258.027682,267.4825913,256.8620968,0,0,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,264.4,272.4850755,284.8515758,267.156694,267.8223271,273.6204768,275.3235053,0,0,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,282.8,280.4358697,279.9403418,294.0544839,279.1473855,273.4589535,286.3293449,0,0,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,284.7,290.5447366,301.974527,302.6001359,287.1055346,294.6185063,290.7671835,0,0,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,296.4,290.317571,307.2839693,282.4267935,295.3697664,293.3263199,296.9801575,0,0,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,292.5,298.7226963,309.009538,296.9964297,309.1434861,303.986858,297.6902117,0,0,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,307.8,319.1675957,314.4517163,296.0157811,301.4914196,326.6001205,312.2463222,0,0,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,307.5,314.2835364,305.6911366,296.856337,316.7955526,341.2987412,307.4534566,0,0,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,300.3,307.2414044,323.8759762,301.339302,321.8459165,416.7301241,359.4649247,0,0,0,0
