No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,-0.75558882,0.872634974,0.330688451,-0.345374558,0,-0.128817305,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,-1.6191189,1.418031833,0,0,0,-0.128817305,0.413407677,0.141782049,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,1.418031833,0.110229484,0,0.236544204,0,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,-0.8,-1.29529512,1.19987309,0.661376902,0,0,0,0,-0.283564097,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.6,-0.43176504,1.19987309,0.992065352,0.575624263,0.236544204,-0.386451915,6.063312601,-0.141782049,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,6.7,3.56206158,6.544762307,22.59704414,8.404114235,1.419265227,2.705163408,0.413407677,2.693858924,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,16.3,10.47030222,16.03466765,49.60326762,14.73598112,6.150149316,5.410326815,4.134076774,4.678807605,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,35.8,26.4456087,37.74146264,28.43920677,38.5668256,18.92353636,17.00388428,15.1582815,14.46176896,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,57.8,47.17033062,55.08508275,50.92602142,59.1741742,42.1048684,41.73680686,35.13965258,32.60987119,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,83.5,62.82181332,80.60965575,68.34227983,80.81764647,61.38322106,58.61187383,50.98694688,49.62371702,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,132.1,101.3568431,124.4595632,110.1192541,136.6532,96.15521912,91.46028663,87.91803272,91.02407523,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,175.7,160.0768886,174.1997567,166.4465202,180.9762682,136.486006,134.8717185,124.5735134,134.4093821,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,202,202.605745,208.9960763,209.4360188,211.0238547,188.525731,193.354775,179.9701422,180.63033,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,226.8,217.7175214,222.085601,218.585066,229.3287062,221.4053754,222.4674859,212.3537436,213.0984191,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,225.9,206.8154542,235.6114431,226.4113593,237.9630702,225.1900827,223.3692071,208.3574694,225.4334573,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,223.7,235.0960643,230.1574745,234.5683411,230.0194554,232.0498646,227.8778128,229.3034584,236.3506751,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,220.1,234.988123,241.8289673,240.1900448,234.3941997,238.2000139,243.8511586,222.4133304,243.5815596,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,244.7,231.3181202,251.9733488,226.7420478,240.0353175,243.5222585,248.6173989,227.3742226,237.3431494,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,241,224.0860558,257.1000793,234.8990296,250.0511797,240.0923675,234.1898607,236.0557838,241.4548288,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,229,235.7437119,251.9733488,230.3796207,258.3401691,247.3069658,255.7023507,244.8751476,259.8864952,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,229.5,220.5239942,263.8630004,234.3478821,261.7939146,240.9202723,261.6279467,245.0129501,241.4548288,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,229.6,206.3836891,236.1568399,234.0171937,267.6652821,239.7375512,258.4075141,255.8993523,260.3118413,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,236.6,194.5101505,278.0433187,236.1115539,282.9768875,244.4684353,262.5296678,242.2568989,257.4762003,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,229.2,190.4083827,285.8970335,234.2376526,303.3539864,235.1249392,264.0754755,277.6721566,257.4762003,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,216.2,182.3127882,319.49348,246.9140433,365.1760322,213.7176887,258.0210622,282.2196411,254.6405594,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,236.7,195.1577981,313.1668764,258.0472211,408.2327271,186.3968331,257.7634275,288.2829537,252.0884825,0,0
